Date & Time, Latitude Degree, Latitude Minute, Latitude Seconds, Latitude Direction, Longitude Degree, Longitude Minute, Longitude Second, Longitudem Direction, Altitude (meters), Speed (meters per second),Heart Rate (beats per minute),Posture,Acceleration,,latitude,longitude
1:13:59 PM,33,12,55.812,North,-87,32,38.784,West,178.6,0.6,65,96,1.21,,33.21550333,-87.54410667
1:14:00 PM,33,12,55.794,North,-87,32,38.844,West,178.6,0.7,65,89,1.65,,33.21549833,-87.54412333
1:14:02 PM,33,12,55.908,North,-87,32,38.88,West,178.6,0.1,65,53,0.89,,33.21553000,-87.54413333
1:14:03 PM,33,12,55.992,North,-87,32,38.874,West,178.6,0.1,65,19,0.92,,33.21555333,-87.54413167
1:14:04 PM,33,12,56.064,North,-87,32,38.874,West,178.6,0.5,65,30,2.33,,33.21557333,-87.54413167
1:14:06 PM,33,12,56.118,North,-87,32,38.862,West,178.6,0.7,65,21,0.3,,33.21558833,-87.54412833
1:14:07 PM,33,12,56.154,North,-87,32,38.832,West,178.6,0.5,65,15,0.24,,33.21559833,-87.54412000
1:14:08 PM,33,12,56.19,North,-87,32,38.838,West,178.6,0.3,72,12,0.15,,33.21560833,-87.54412167
1:14:09 PM,33,12,56.208,North,-87,32,38.844,West,178.6,0.3,85,10,0.08,,33.21561333,-87.54412333
1:14:10 PM,33,12,56.214,North,-87,32,38.874,West,178.6,0.2,82,8,0.06,,33.21561500,-87.54413167
1:14:11 PM,33,12,56.238,North,-87,32,38.892,West,178.6,0.4,81,7,0.07,,33.21562167,-87.54413667
1:14:12 PM,33,12,56.274,North,-87,32,38.868,West,178.6,0.4,81,6,0.08,,33.21563167,-87.54413000
1:14:13 PM,33,12,56.292,North,-87,32,38.856,West,178.6,0.2,80,1,0.21,,33.21563667,-87.54412667
1:14:14 PM,33,12,56.298,North,-87,32,38.826,West,178.6,0.2,82,7,0.28,,33.21563833,-87.54411833
1:14:15 PM,33,12,56.322,North,-87,32,38.778,West,178.6,0.1,75,14,0.18,,33.21564500,-87.54410500
1:14:16 PM,33,12,56.352,North,-87,32,38.742,West,178.6,0.1,76,17,0.2,,33.21565333,-87.54409500
1:14:17 PM,33,12,56.346,North,-87,32,38.712,West,178.7,0.3,74,12,0.28,,33.21565167,-87.54408667
1:14:18 PM,33,12,56.328,North,-87,32,38.724,West,178.7,0.3,72,9,0.27,,33.21564667,-87.54409000
1:14:19 PM,33,12,56.286,North,-87,32,38.742,West,178.7,0.3,72,7,0.16,,33.21563500,-87.54409500
1:14:20 PM,33,12,56.238,North,-87,32,38.742,West,178.7,0.5,57,5,0.18,,33.21562167,-87.54409500
1:14:21 PM,33,12,56.202,North,-87,32,38.694,West,178.7,0.5,50,4,0.22,,33.21561167,-87.54408167
1:14:22 PM,33,12,56.202,North,-87,32,38.688,West,178.7,0.5,60,7,0.16,,33.21561167,-87.54408000
1:14:23 PM,33,12,56.214,North,-87,32,38.694,West,178.7,0.3,69,10,0.19,,33.21561500,-87.54408167
1:14:24 PM,33,12,56.238,North,-87,32,38.676,West,178.7,0.2,78,7,0.21,,33.21562167,-87.54407667
1:14:25 PM,33,12,56.232,North,-87,32,38.676,West,178.7,0.1,86,6,0.16,,33.21562000,-87.54407667
1:14:26 PM,33,12,56.226,North,-87,32,38.706,West,178.7,0.1,89,6,0.12,,33.21561833,-87.54408500
1:14:27 PM,33,12,56.172,North,-87,32,38.784,West,178.8,0.1,91,7,0.16,,33.21560333,-87.54410667
1:14:28 PM,33,12,56.178,North,-87,32,38.796,West,178.7,0.1,89,7,0.18,,33.21560500,-87.54411000
1:14:30 PM,33,12,56.172,North,-87,32,38.814,West,178.7,0.2,87,6,0.1,,33.21560333,-87.54411500
1:14:31 PM,33,12,56.166,North,-87,32,38.826,West,178.7,0.2,85,6,0.1,,33.21560167,-87.54411833
1:14:32 PM,33,12,56.142,North,-87,32,38.832,West,178.7,0.2,84,6,0.04,,33.21559500,-87.54412000
1:14:33 PM,33,12,56.142,North,-87,32,38.838,West,178.7,0.2,82,7,0.09,,33.21559500,-87.54412167
1:14:34 PM,33,12,56.142,North,-87,32,38.838,West,178.7,0,81,6,0.14,,33.21559500,-87.54412167
1:14:35 PM,33,12,56.136,North,-87,32,38.838,West,178.7,0,82,6,0.26,,33.21559333,-87.54412167
1:14:36 PM,33,12,56.136,North,-87,32,38.838,West,178.7,0.3,86,3,0.2,,33.21559333,-87.54412167
1:14:37 PM,33,12,56.13,North,-87,32,38.838,West,178.7,0.2,88,3,0.21,,33.21559167,-87.54412167
1:14:38 PM,33,12,56.124,North,-87,32,38.832,West,178.7,0.2,88,4,0.13,,33.21559000,-87.54412000
1:14:39 PM,33,12,56.118,North,-87,32,38.832,West,178.7,0.3,89,5,0.14,,33.21558833,-87.54412000
1:14:40 PM,33,12,56.112,North,-87,32,38.832,West,178.7,0.3,90,5,0.12,,33.21558667,-87.54412000
1:14:41 PM,33,12,56.112,North,-87,32,38.832,West,178.7,0.1,90,3,0.14,,33.21558667,-87.54412000
1:14:42 PM,33,12,56.112,North,-87,32,38.832,West,178.7,0,89,3,0.13,,33.21558667,-87.54412000
1:14:43 PM,33,12,56.112,North,-87,32,38.826,West,178.7,0.1,88,3,0.13,,33.21558667,-87.54411833
1:14:44 PM,33,12,56.106,North,-87,32,38.82,West,178.7,0.2,87,3,0.04,,33.21558500,-87.54411667
1:14:45 PM,33,12,56.1,North,-87,32,38.808,West,178.7,0.4,78,3,0.08,,33.21558333,-87.54411333
1:14:46 PM,33,12,56.094,North,-87,32,38.796,West,178.7,0.5,72,4,0.13,,33.21558167,-87.54411000
1:14:47 PM,33,12,56.088,North,-87,32,38.79,West,178.7,0.5,71,5,0.08,,33.21558000,-87.54410833
1:14:48 PM,33,12,56.082,North,-87,32,38.784,West,178.7,0.4,73,4,0.04,,33.21557833,-87.54410667
1:14:49 PM,33,12,56.082,North,-87,32,38.778,West,178.7,0.3,77,4,0.09,,33.21557833,-87.54410500
1:14:50 PM,33,12,56.082,North,-87,32,38.772,West,178.7,0.2,81,5,0.08,,33.21557833,-87.54410333
1:14:51 PM,33,12,56.082,North,-87,32,38.772,West,178.7,0.2,85,4,0.14,,33.21557833,-87.54410333
1:14:52 PM,33,12,56.082,North,-87,32,38.766,West,178.7,0.1,87,3,0.13,,33.21557833,-87.54410167
1:14:53 PM,33,12,56.07,North,-87,32,38.772,West,178.7,0,89,4,0.09,,33.21557500,-87.54410333
1:14:54 PM,33,12,56.064,North,-87,32,38.778,West,178.7,0,88,3,0.13,,33.21557333,-87.54410500
1:14:55 PM,33,12,56.064,North,-87,32,38.778,West,178.7,0,87,3,0.22,,33.21557333,-87.54410500
1:14:56 PM,33,12,56.064,North,-87,32,38.778,West,178.7,0.1,86,4,0.3,,33.21557333,-87.54410500
1:14:57 PM,33,12,56.07,North,-87,32,38.784,West,178.7,0.1,85,5,0.13,,33.21557500,-87.54410667
1:14:58 PM,33,12,56.064,North,-87,32,38.784,West,178.7,0.1,84,5,0.04,,33.21557333,-87.54410667
1:14:59 PM,33,12,56.064,North,-87,32,38.79,West,178.7,0.1,83,4,0.1,,33.21557333,-87.54410833
1:15:01 PM,33,12,56.064,North,-87,32,38.79,West,178.7,0.1,83,1,0.16,,33.21557333,-87.54410833
1:15:02 PM,33,12,56.046,North,-87,32,38.79,West,178.7,0.2,82,1,0.14,,33.21556833,-87.54410833
1:15:03 PM,33,12,55.986,North,-87,32,38.802,West,178.7,0.6,84,1,0.08,,33.21555167,-87.54411167
1:15:04 PM,33,12,55.956,North,-87,32,38.82,West,178.7,0.8,85,2,0.04,,33.21554333,-87.54411667
1:15:05 PM,33,12,55.878,North,-87,32,38.88,West,178.6,0.8,85,3,0.03,,33.21552167,-87.54413333
1:15:06 PM,33,12,55.86,North,-87,32,38.886,West,178.6,1,83,3,0.03,,33.21551667,-87.54413500
1:15:07 PM,33,12,55.848,North,-87,32,38.892,West,178.6,1,79,3,0.04,,33.21551333,-87.54413667
1:15:08 PM,33,12,55.83,North,-87,32,38.904,West,178.6,1,74,3,0.04,,33.21550833,-87.54414000
1:15:09 PM,33,12,55.812,North,-87,32,38.91,West,178.6,1,73,3,0.04,,33.21550333,-87.54414167
1:15:10 PM,33,12,55.788,North,-87,32,38.916,West,178.6,1.3,74,3,0.03,,33.21549667,-87.54414333
1:15:11 PM,33,12,55.764,North,-87,32,38.922,West,178.6,1.3,77,3,0.03,,33.21549000,-87.54414500
1:15:12 PM,33,12,55.746,North,-87,32,38.928,West,178.6,1.3,82,3,0.03,,33.21548500,-87.54414667
1:15:13 PM,33,12,55.722,North,-87,32,38.934,West,178.6,1.4,84,3,0.04,,33.21547833,-87.54414833
1:15:14 PM,33,12,55.698,North,-87,32,38.946,West,178.6,1.4,82,3,0.07,,33.21547167,-87.54415167
1:15:15 PM,33,12,55.674,North,-87,32,38.946,West,178.6,1.3,77,3,0.06,,33.21546500,-87.54415167
1:15:16 PM,33,12,55.656,North,-87,32,38.958,West,178.6,1.2,75,3,0.12,,33.21546000,-87.54415500
1:15:17 PM,33,12,55.638,North,-87,32,38.964,West,178.6,1.1,78,3,0.13,,33.21545500,-87.54415667
1:15:18 PM,33,12,55.62,North,-87,32,38.964,West,178.6,1,81,4,0.06,,33.21545000,-87.54415667
1:15:19 PM,33,12,55.602,North,-87,32,38.97,West,178.6,1,81,5,0.04,,33.21544500,-87.54415833
1:15:21 PM,33,12,55.59,North,-87,32,38.97,West,178.6,1,81,4,0.06,,33.21544167,-87.54415833
1:15:22 PM,33,12,55.572,North,-87,32,39,West,178.6,0.8,84,2,0.2,,33.21543667,-87.54416667
